ident,type,name,municipality,latitude,longitude,region,takeoffs,landings,total,count_destinations
02MI,small_airport,Fairplains Airpark,Greenville, 43.157100677490234,-85.14849853515625,unkown,16,20,36,14
02MO,small_airport,Troy Airpark,Troy, 39.04999923706055,-91.03350067138672,unkown,2,2,4,2
02MS,small_airport,Watts Field,Rochdale, 34.100101470947266,-90.8468017578125,unkown,6,4,10,6
02MU,closed,Timber Line Airpark,Cassville, 36.654233,-93.797418,unkown,32,59,91,23
02NE,small_airport,Benes Service Airport,Valparaiso, 41.074501037597656,-96.90450286865234,unkown,1,1,2,1
02OI,small_airport,Murtha Airport,Conneaut, 41.801998138427734,-80.56539916992188,unkown,1,6,7,1
02OR,small_airport,Rowena Dell Airport,The Dalles, 45.68149948120117,-121.31600189208984,unkown,0,4,4,0
02PR,small_airport,Cuylers Airport,Vega Baja, 18.45330047607422,-66.36689758300781,unkown,103,115,218,7
02PS,small_airport,Hughes Ultralightport,Tioga, 41.90060043334961,-77.23030090332031,unkown,0,12,12,0
02SC,small_airport,Harpers Airport,Estill, 32.75849914550781,-81.22480010986328,unkown,0,1,1,0
02TN,small_airport,Ellis Field,Murfreesboro, 35.780601501464844,-86.58419799804688,unkown,4,3,7,4
02VA,small_airport,The Greenhouse Airport,Culpeper, 38.435699462890625,-77.8572006225586,unkown,62,88,150,26
02WA,small_airport,Cawleys South Prairie Airport,South Prairie, 47.15230178833008,-122.09400177001953,unkown,66,70,136,21
02WI,small_airport,Beer Airport,Hudson, 45.031898498535156,-92.65579986572266,unkown,8,5,13,6
02XS,closed,Seidel Ranch Airport,Elroy, 30.147699,-97.662804,unkown,397,2906,3303,143
03CO,small_airport,Kugel-Strong Airport,Platteville, 40.2125015259,-104.744003296,unkown,38,20,58,13
03FA,small_airport,Lake Persimmon Airstrip,Lake Placid, 27.353099822998047,-81.40809631347656,unkown,121,137,258,39
03II,small_airport,Davis Field Ultralightport,Mount Vernon, 37.9620018005,-87.7789001465,unkown,1,1,2,1
03IL,small_airport,Wix Airport,Monee, 41.40230178833008,-87.81670379638672,unkown,21,25,46,12
03IN,small_airport,Heinzman Airport,Arcadia, 40.18000030517578,-86.01249694824219,unkown,18,23,41,7
03KY,small_airport,Flying H Farms Airport,Henderson, 37.79169845581055,-87.54139709472656,unkown,3,17,20,1
03MA,small_airport,Hadley Airport,Hadley, 42.39310073852539,-72.552001953125,unkown,35,41,76,22
03ME,small_airport,Maple Ridge Airport,Harrison, 44.08420181274414,-70.6272964477539,unkown,1,16,17,1
03MN,small_airport,Nauerth Land Ranch Airport,Lakefield, 43.62519836425781,-95.22470092773438,unkown,0,1,1,0
03MU,small_airport,Mc Donnell Airport,Archie, 38.4925003052,-94.41249847410002,unkown,9,14,23,6
03NY,small_airport,Talmage Field,Riverhead, 40.95840072631836,-72.716796875,unkown,335,374,709,96
03OH,small_airport,Gibbs Field,Fremont, 41.418399810791016,-83.01740264892578,unkown,3,5,8,3
03OK,small_airport,Sahoma Lake Airport,Sapulpa, 36.04119873046875,-96.1613998413086,unkown,89,40,129,19
03PR,small_airport,Sun View Field Airport,Bonner Springs, 39.065947,-94.921703,unkown,25,46,71,19
03PS,closed,Ziggy's Field,Bellefonte, 40.849998,-77.905602,unkown,132,19,151,63
03UT,small_airport,A Z Minerals Corporation Airport,Mexican Hat, 37.12080001831055,-109.98600006103516,unkown,0,1,1,0
03WA,small_airport,Spangle Field,Spangle, 47.408199310302734,-117.37200164794922,unkown,58,170,228,12
03WI,small_airport,Zink Airport,Berlin, 44.028873,-88.883945,unkown,1,4,5,1
03WN,small_airport,Aerostone Ranch Airport,Goldendale, 45.875,-120.66999816894531,unkown,0,1,1,0
04AA,small_airport,Flying W Ranch Airport,Soldotna, 60.535833,-150.811387,unkown,4,15,19,2
04CA,small_airport,Gray Butte Field,Palmdale, 34.5639,-117.675003,unkown,30,24,54,22
04CL,small_airport,Hunt's Sky Ranch Airport,Julian, 33.08169937133789,-116.44100189208984,unkown,136,173,309,18
04FA,small_airport,Richards Field,Homestead, 25.558700561523438,-80.51509857177734,unkown,20,19,39,11
04FL,small_airport,Cross Creek Farms Airport,Ormond, 29.23940086364746,-81.22200012207031,unkown,514,330,844,70
04IA,small_airport,Middlekoop Airport,Packwood, 41.08829879760742,-92.05460357666016,unkown,1,0,1,1
04ID,small_airport,Lanham Field,Emmett, 43.87770080566406,-116.53700256347656,unkown,94,129,223,18
04IL,small_airport,Schertz Aerial Service - Hudson Airport,Hudson, 40.6375007629,-89.0070037842,unkown,22,16,38,14
04IS,small_airport,Van Gorder Airport,Mansfield, 40.1786003112793,-88.56900024414062,unkown,1,0,1,1
04LL,small_airport,Brunner Airport,West Dundee, 42.13610076904297,-88.28759765625,unkown,25,22,47,17
04ME,small_airport,Beech Hill Airport,Mercer, 44.66669845581055,-69.8938980102539,unkown,1,10,11,1
04MI,small_airport,Rapids Airway Airport,Eaton Rapids, 42.53450012207031,-84.62830352783203,unkown,20,39,59,18
04MO,small_airport,Airpark Private Airport,Vandalia, 39.30120086669922,-91.45149993896484,unkown,9,17,26,5
04MS,small_airport,Nick's Flying Service Inc Airport,Rolling Fork, 32.939601898199996,-90.8373031616,unkown,0,1,1,0
04NJ,small_airport,Emmanuel Airport,Elmer, 39.596801757799994,-75.2334976196,unkown,9,6,15,6
04NV,small_airport,Kingston Ranch Airport,Sandy Valley, 35.7555007935,-115.665000916,unkown,1,10,11,1
04NY,small_airport,Klaverack Airport,Hudson, 42.262298584,-73.6961975098,unkown,69,45,114,40
04TN,small_airport,Hensley Airpark,Chuckey, 36.183300018299995,-82.67890167239999,unkown,59,23,82,26
04TX,small_airport,Pocock Airport,China Spring, 31.7322006226,-97.36889648440001,unkown,63,40,103,35
04VG,small_airport,Manquin Flight Park Ultralightport,Manquin, 37.7144012451,-77.21179962160001,unkown,16,19,35,14
04VT,small_airport,Lightning Bolt Field Airport,Cabot, 44.4011001587,-72.26360321039999,unkown,3,8,11,3
04WA,small_airport,Ox Meadows Airport,Spokane, 47.5817985535,-117.43699646,unkown,159,97,256,59
04WI,small_airport,Dutch Gap Airstrip,Bristol, 42.523399353,-88.0167007446,unkown,3,16,19,2
04WN,small_airport,Stillwater Creek Airport,Royal City, 46.963889,-119.641667,unkown,0,6,6,0
05AK,small_airport,Wasilla Creek Airpark,Palmer, 61.66830063,-149.1880035,unkown,17,8,25,11
05AR,small_airport,Ozark Skies Airpark,Kingston, 36.000633,-93.57025,unkown,1,1,2,1
05CL,small_airport,Pope Valley Airport,Pope Valley, 38.6106987,-122.39099884,unkown,37,39,76,21
05CO,small_airport,Rancho De Aereo Airport,Mead, 40.2149839,-104.9844228,unkown,12,8,20,9
05FA,small_airport,Melanie's Airport,Florala, 30.918899536132812,-86.21829986572266,unkown,22,29,51,16
05FL,small_airport,Charlton Strip,La Belle, 26.523099899291992,-81.4083023071289,unkown,35,73,108,19
05IA,small_airport,Spotts Field,Nora Springs, 43.13750076293945,-93.06829833984375,unkown,9,9,18,9
05II,small_airport,Reichhart Airport,New Haven, 41.02870178222656,-84.99720001220703,unkown,1,0,1,1
05IL,small_airport,Classic Landings Airport,Bonfield, 41.156700134277344,-88.0167007446289,unkown,4,8,12,4
05IN,small_airport,Cooper Airport,Belleville, 39.641998291015625,-86.50420379638672,unkown,24,23,47,22
05IS,small_airport,Hardy Airport,Mount Auburn, 39.72589874267578,-89.26399993896484,unkown,3,2,5,3
05KY,small_airport,Cartersville Airport,Berea, 37.53689957,-84.40720367,unkown,5,8,13,5
05MD,small_airport,Breezecroft Airport,Chestertown, 39.250099182128906,-76.2052001953125,unkown,10,6,16,7
05NE,small_airport,Mc Kay Airport,Spalding, 41.7221984863,-98.3089981079,unkown,0,2,2,0
05OI,small_airport,Dorlon Airpark,Columbia Station, 41.28839874267578,-81.96260070800781,unkown,0,1,1,0
05OK,closed,Hawk Haven Airport,Crescent, 35.8534,-97.567497,unkown,14,12,26,8
05PS,small_airport,Mills Brothers Airport,Burnt Cabins, 40.142799377441406,-77.86190032958984,unkown,12,26,38,12
05TA,small_airport,Brandes Air Field,Sealy, 29.809099197387695,-96.26509857177734,unkown,1,13,14,1
05TE,small_airport,Hilde-Griff Field,Georgetown, 30.72209930419922,-97.79139709472656,unkown,272,123,395,85
05TS,small_airport,Dew Drop Airport,Justin, 33.12929916381836,-97.35859680175781,unkown,3,12,15,3
05TX,small_airport,Circle 'A' Ranch Airport,Blum, 32.12919998168945,-97.4041976928711,unkown,14,10,24,11
05WI,small_airport,Ames Private Airport,Darien, 42.651100158691406,-88.74590301513672,unkown,6,5,11,3
06AK,small_airport,June Lake Airpark,Wasilla, 61.627619,-149.575331,unkown,11,17,28,5
06FA,small_airport,William P Gwinn Airport,Jupiter, 26.90839958190918,-80.32890319824219,unkown,33,214,247,29
06FD,small_airport,Grass Roots Airpark,Mascotte, 28.641700744628906,-81.88500213623047,unkown,58,74,132,30
06IA,small_airport,Rich Field,Walford, 41.841400146484375,-91.83429718017578,unkown,14,39,53,9
06ID,small_airport,Larkin Airport,Kuna, 43.46269989013672,-116.35900115966797,unkown,7,12,19,2
06IL,small_airport,Humm Airport,Earlville, 41.5994987487793,-88.86990356445312,unkown,11,21,32,8
06IN,closed,Ellis Fly-In Airport,Blackhawk, 39.282799,-87.303596,unkown,96,59,155,36
06MO,small_airport,Noahs Ark Airport,Waldron, 39.23059844970703,-94.80439758300781,unkown,165,204,369,57
06NC,small_airport,Tailwinds Airport,St. Pauls, 34.82749938964844,-78.9302978515625,unkown,26,30,56,14
06NH,small_airport,Cole Farm Airport,Kensington, 42.92839813232422,-70.97309875488281,unkown,5,8,13,5
06NY,small_airport,Murphy Field,Auburn, 42.84280014038086,-76.44529724121094,unkown,7,7,14,6
06OH,small_airport,Hal Joy Airfield,Williamsfield, 41.50979995727539,-80.59120178222656,unkown,2,10,12,2
06OI,small_airport,Green Acres Airport,New Lebanon, 39.734798431396484,-84.3822021484375,unkown,3,3,6,2
06OR,small_airport,Hayden Mountain Airport,Forest Grove, 45.4650993347168,-123.08000183105469,unkown,7,4,11,6
06PA,small_airport,Freefall Oz Airport,Ceres, 41.995792,-78.288152,unkown,9,8,17,7
06TA,small_airport,Glaser Field,Buckholts, 30.90850067138672,-97.11689758300781,unkown,0,7,7,0
06TE,small_airport,Ainsworth Airport,Cleveland, 30.312700271606445,-95.02690124511719,unkown,0,3,3,0
06TN,small_airport,Hunter STOLport,Columbia, 35.69729995727539,-86.95690155029297,unkown,29,88,117,16
06TX,small_airport,Diamond N Ranch Airport,Hockley, 30.057600021362305,-95.81289672851562,unkown,0,1,1,0
06VA,small_airport,Mount Horeb Field,Grottoes, 38.249000549316406,-78.85530090332031,unkown,353,323,676,109
06WI,small_airport,Young Private Airport,Frederic, 45.66270065307617,-92.45020294189453,unkown,53,92,145,19
06WN,small_airport,Western Airpark,Yelm, 46.92499923706055,-122.5530014038086,unkown,81,87,168,33
06XS,small_airport,Campbell Field,Aubrey, 33.32469940185547,-97.04419708251953,unkown,19,28,47,15
07AA,small_airport,Pan Lake Strip Airport,Willow, 61.6959639,-149.9549028,unkown,31,45,76,8
07CL,small_airport,Richvale Airport,Richvale, 39.49769973754883,-121.77100372314453,unkown,30,94,124,20
07CO,small_airport,Comanche Creek Airport,Kiowa, 39.26359939575195,-104.427001953125,unkown,31,90,121,9
07FA,small_airport,Ocean Reef Club Airport,Key Largo, 25.325399398804,-80.274803161621,unkown,312,317,629,147
07GA,small_airport,Alcovy Airport,Covington, 33.67499923706055,-83.76309967041016,unkown,27,61,88,13
07ID,small_airport,Interstate Airport,Malta, 42.2781982421875,-113.30500030517578,unkown,0,32,32,0
07IN,small_airport,Gray Airport,Boggstown, 39.573699951171875,-85.91390228271484,unkown,9,3,12,6
07KY,small_airport,Blue Lick Airport,Louisville, 38.08060073852539,-85.69329833984375,unkown,58,306,364,22
07MD,small_airport,Baugher's Orchard Airport,Westminster, 39.608299255371094,-77.0519027709961,unkown,10,8,18,8
07MI,small_airport,Scott Airstrip,Lake, 43.864200592041016,-85.0239028930664,unkown,0,6,6,0
07MN,small_airport,Dairyview Airport,Hadley, 44.05500030517578,-95.90950012207031,unkown,1,3,4,1
07NC,small_airport,Hawks Meadow Airport,Waxhaw, 34.83319854736328,-80.7511978149414,unkown,2,4,6,2
07OK,small_airport,Pleasant Valley Airport,Snyder, 34.633399963378906,-99.03369903564453,unkown,3,27,30,3
07OR,small_airport,Bruce's Airport,Milwaukie, 45.42179870605469,-122.62000274658203,unkown,40,84,124,17
07PN,small_airport,Folmar Airport,Grassflat, 40.998889,-78.125278,unkown,10,85,95,10
07TA,small_airport,Salaika Aviation Airport,Danbury, 29.240519,-95.344658,unkown,2,4,6,2
07TE,small_airport,Cuddihy Field,Corpus Christi, 27.721099853515625,-97.51280212402344,unkown,141,22,163,31
07TN,small_airport,Corntassel Airport,Vonore, 35.568599700927734,-84.24109649658203,unkown,9,8,17,6
07TS,small_airport,Cross-Country Estates Airport,Georgetown, 30.625,-97.57279968261719,unkown,148,99,247,78
07UT,small_airport,E Northrop Grumman Airport,Howell, 41.716667,-112.447222,unkown,13,14,27,6
07VA,small_airport,Alpha Hotel Airport,Clover, 36.81959915161133,-78.78309631347656,unkown,0,4,4,0
07VT,small_airport,Meadow STOLport,Jericho, 44.447200775146484,-72.91470336914062,unkown,37,38,75,29
08CL,small_airport,Kistler Ranch Airport,Jamestown, 37.85960006713867,-120.55400085449219,unkown,126,199,325,47
08CO,small_airport,Terra Firma Airport,Rush, 38.73249816894531,-104.04100036621094,unkown,0,3,3,0
08FA,small_airport,Duda Airstrip,La Belle, 26.57979965209961,-81.48370361328125,unkown,19,64,83,12
08FD,small_airport,Sunniland Ranch Airport,Okeechobee, 27.363100051879883,-80.77279663085938,unkown,56,72,128,23
08FL,small_airport,J. H. Hendrie Farms Airport,Lake Placid, 27.08449935913086,-81.32869720458984,unkown,19,29,48,16
08ID,small_airport,Symms Airport,Marsing, 43.56930160522461,-116.7770004272461,unkown,115,126,241,18
08IL,closed,Harms Airstrip,Tampico, 41.577,-89.793999,unkown,0,10,10,0
08IS,small_airport,Hemmer RLA Restricted Landing Area,Du Quoin, 37.977798461899994,-89.20290374759999,unkown,6,32,38,5
08KY,small_airport,Boss Airport,Burnside, 36.972599029541016,-84.6260986328125,unkown,1,3,4,1
08LL,small_airport,Sauer Airport,Dwight, 41.07529830932617,-88.48919677734375,unkown,1,2,3,1
08MA,small_airport,Wormid Airport,Southborough, 42.29399871826172,-71.49620056152344,unkown,2,7,9,2
08ME,small_airport,Lindbergh Airport,Avon, 44.81420135498047,-70.34529876708984,unkown,0,1,1,0
08MS,small_airport,Williams Field,Coldwater, 34.66220093,-89.86830139,unkown,0,5,5,0
08NC,small_airport,Whiteheart Farm Airport,Lewisville, 36.06760025024414,-80.4655990600586,unkown,71,155,226,47
08NE,small_airport,Laurel Municipal Airport,Laurel, 42.43170166015625,-97.07949829101562,unkown,5,27,32,5
08NY,small_airport,Md1 Airport,Middletown, 41.368099212646484,-74.50559997558594,unkown,21,15,36,16
08OH,small_airport,Kenley Airport,Hartford, 41.29169845581055,-80.5636978149414,unkown,29,48,77,24
08OK,small_airport,Parks Airport,Wilburton, 34.93149948120117,-95.25830078125,unkown,2,6,8,2
08TE,small_airport,B. J. Mc Combs Sisterdale Airport,Comfort, 29.975331,-98.742451,unkown,8,4,12,4
08TX,small_airport,Cross Wind Airport,Weatherford, 32.85820007324219,-97.74749755859375,unkown,34,34,68,20
08XA,small_airport,Knolle Ranch Airport,Snook, 30.479253,-96.504031,unkown,5,16,21,5
09AK,small_airport,West Beaver Airport,Big Lake, 61.589361,-149.847333,unkown,13,8,21,8
09AZ,small_airport,Stronghold Airport,St David, 31.924848,-110.040007,unkown,5,12,17,5
09CL,small_airport,Alta Sierra Airport,Grass Valley, 39.113800048828125,-121.05699920654297,unkown,162,185,347,63
09FA,small_airport,Placid Lakes Airport,Lake Placid, 27.2455997467041,-81.41310119628906,unkown,32,24,56,19
09FD,small_airport,Cheryl-Lane Landings Airport,Bushnell, 28.671100616455078,-82.0873031616211,unkown,20,18,38,10
09FL,small_airport,Sunnybreeze Airport,Arcadia, 27.055599212646484,-81.97059631347656,unkown,150,120,270,85
09IA,small_airport,Skydive Iowa Airport,Brooklyn, 41.74580001831055,-92.4093017578125,unkown,0,13,13,0
09II,small_airport,Gibbons Field,Valeene, 38.44729995727539,-86.44499969482422,unkown,11,17,28,10
09IN,small_airport,Gordon Airport,Columbia City, 41.12089920043945,-85.42500305175781,unkown,1,3,4,1
09KS,small_airport,Coffman Airport,Wellsville, 38.707000732421875,-95.13829803466797,unkown,13,11,24,8
09LL,small_airport,Pine Hill Airport,Capron, 42.468101501464844,-88.74320220947266,unkown,1,1,2,1
09MA,small_airport,Kallander Field,Southborough, 42.304298400878906,-71.50589752197266,unkown,3,10,13,3
09ME,small_airport,Perrotti Skyranch Airfield,Berwick, 43.34080123901367,-70.85469818115234,unkown,7,5,12,6
09MO,small_airport,Hogue Farm Airport,Willard, 37.37839889526367,-93.36329650878906,unkown,29,273,302,16
09NC,small_airport,William Irving Lewis Airport,Broadway, 35.32929992675781,-79.02999877929688,unkown,13,6,19,6
09NE,small_airport,Summer Hill Farm Airport,Bennington, 41.33330154418945,-96.193603515625,unkown,4,4,8,4
09NR,small_airport,Dakota Air Ranch Airport,Ramseur, 35.650122,-79.650311,unkown,15,14,29,12
09OK,small_airport,Ragtime Aerodrome,Collinsville, 36.35449981689453,-95.86389923095703,unkown,6,6,12,5
09PA,small_airport,Eagle Field,Port Matilda, 40.82699966430664,-77.98809814453125,unkown,205,36,241,58
09TA,small_airport,Lazy G Bar Ranch Airport,Decatur, 33.282101,-97.497002,unkown,45,14,59,25
09TE,small_airport,Running M Ranch Airport,Glen Rose, 32.26679992675781,-97.86699676513672,unkown,15,8,23,9
09VA,small_airport,Alum Ridge STOLport,Floyd, 36.97650146484375,-80.493896484375,unkown,0,2,2,0
09WI,small_airport,Parkway Farm Strip,Holmen, 44.00360107421875,-91.30760192871094,unkown,20,9,29,8
0AA7,small_airport,Kalifonsky Meadows Airport,Kenai, 60.491537,-151.2352525,unkown,6,8,14,4
0AK1,small_airport,Anderson Lake Airport,Wasilla, 61.61690139770508,-149.32200622558594,unkown,25,35,60,17
0AK2,small_airport,Yentna Bend Strip,Willow, 61.725556,-150.678611,unkown,173,240,413,14
0AK3,small_airport,Parker Lake Airport,Montana Creek, 62.0359001159668,-150.49400329589844,unkown,15,29,44,8
0AK7,small_airport,Bradley Lake Hydroelectri Project Airstrip,Homer, 59.776100158691406,-150.95899963378906,unkown,18,51,69,9
0AK9,small_airport,Falcon Lake Strip,Point Mackenzie, 61.33259963989258,-150.0590057373047,unkown,9,9,18,7
0AL1,small_airport,Resort Airport,Foley, 30.443899154663086,-87.65689849853516,unkown,9,13,22,4
0AL5,small_airport,Flomaton Airport,Flomaton, 31.03219985961914,-87.25279998779297,unkown,46,105,151,20
0AL9,small_airport,Wilson Creek Airport,Florence, 34.849998474121094,-87.63249969482422,unkown,50,63,113,29
0AR1,closed,Hooterville South Airport,Centerville, 35.0947,-93.202003,unkown,0,2,2,0
0AR7,closed,Yancopin Airport,Watson, 33.9501,-91.181198,unkown,8,11,19,6
0AZ1,closed,Taylor Field,Marana, 32.302114,-111.32412,unkown,5,11,16,2
0AZ2,small_airport,Western Sky Airport,Salome, 33.778166,-113.640625,unkown,0,2,2,0
0AZ4,small_airport,Flying Bucket Ranch Airport,Mobile, 32.9822998046875,-112.28700256347656,unkown,13,24,37,5
0AZ5,small_airport,Castle Well Airport,Morristown, 33.865944,-112.603265,unkown,25,17,42,10
0CA3,small_airport,Crawford Airport,Santa Ynez, 34.587501525878906,-120.01300048828125,unkown,81,173,254,35
0CA4,small_airport,Shepherd Farm Airport,Santa Ynez, 34.6222,-120.065002,unkown,115,184,299,54
0CA5,small_airport,Hoffman Private Airport,Santa Ysabel, 33.14310073852539,-116.74500274658203,unkown,35,32,67,14
0CA6,small_airport,Emory Ranch Airport,Ocotillo, 32.7494444,-116.0161111,unkown,11,238,249,9
0CA8,small_airport,Ward Ranch Airport,Aguanga, 33.4277992249,-116.843002319,unkown,19,23,42,6
0CA9,small_airport,Blech Ranch Airport,Shandon, 35.5950012207,-120.338996887,unkown,23,41,64,9
0CD2,small_airport,Foxx Valley Airport,Yoder, 38.652500152600005,-104.23400116,unkown,1,5,6,1
0CD7,small_airport,Fox Hole Airport,Lafayette, 40.004699707,-105.071998596,unkown,13,10,23,5
0CL0,small_airport,Yosemite Hidden Lake Ranch Airport,Raymond, 37.11800003049999,-119.913002014,unkown,6,8,14,4
0CL1,small_airport,Krey Field Airport,Adelanto, 34.5694007874,-117.555999756,unkown,26,7,33,23
0CL3,small_airport,John Nichol's Field Airport,Chula Vista, 32.633098602299995,-116.892997742,unkown,301,319,620,16
0CL6,small_airport,Bohunk's Airpark,Lancaster, 34.694698333699996,-118.282997131,unkown,112,153,265,33
0CN1,small_airport,Fiorini Ranch Airport,Delhi, 37.452178,-120.764758,unkown,35,33,68,22
0CN2,small_airport,Sutter Butte Dusters Airport,Live Oak, 39.228622,-121.688265,unkown,66,74,140,36
0CO1,small_airport,Dave's Airport,Louisville, 40.0332984924,-105.124000549,unkown,10,7,17,6
0CO5,small_airport,Chenoweth Airport,Last Chance, 39.8333015442,-103.589996338,unkown,3,15,18,2
0CO6,small_airport,Flying M & M Ranch Airport,Norwood, 38.2193984985,-108.212997437,unkown,0,7,7,0
